filename,participant,GP_condition,Q_condition,item,inter_reading,is_filler
13.20FDY,13,True,False,20,1399,True
13.21FDY,13,True,False,21,1799,True
13.22FDY,13,True,False,22,11699,True
13.23FDY,13,True,False,23,-1,True
13.24FDY,13,True,False,24,300,True
13.25FQY,13,True,True,25,1850,True
13.26FDY,13,True,False,26,3650,True
13.27FDY,13,True,False,27,1399,True
13.28FDY,13,True,False,28,2750,True
13.29FDY,13,True,False,29,2100,True
13.2EQN,13,False,True,2,800,False
13.30FQY,13,True,True,30,0,True
13.31FQY,13,True,True,31,3200,True
13.32FQY,13,True,True,32,3300,True
13.33FQN,13,False,True,33,-1,True
13.34FDN,13,False,False,34,3399,True
13.35FQN,13,False,True,35,-1,True
13.36FDN,13,False,False,36,950,True
13.37FQN,13,False,True,37,6199,True
13.38FQN,13,False,True,38,1399,True
13.39FQN,13,False,True,39,1800,True
13.3EQN,13,False,True,3,1399,False
13.40FQN,13,False,True,40,1349,True
13.41FQN,13,False,True,41,2500,True
13.42FQN,13,False,True,42,7949,True
13.43FQN,13,False,True,43,2149,True
13.44FDN,13,False,False,44,1799,True
13.45FDN,13,False,False,45,5100,True
13.46FQN,13,False,True,46,16400,True
13.47FQN,13,False,True,47,3199,True
13.48FQN,13,False,True,48,799,True
13.4EQY,13,True,True,4,3650,False
13.5EQN,13,False,True,5,-1,False
13.6EQY,13,True,True,6,-1,False
13.7EDY,13,True,False,7,14950,False
13.8EDY,13,True,False,8,449,False
13.9EDN,13,False,False,9,1349,False
14.10EDY,14,True,False,10,1050,False
14.11EQN,14,False,True,11,1399,False
14.12EQY,14,True,True,12,2150,False
14.13EQN,14,False,True,13,6199,False
14.14EDN,14,False,False,14,-1,False
14.15EQY,14,True,True,15,9600,False
14.16EDN,14,False,False,16,4100,False
14.17FQY,14,True,True,17,-1,True
14.18FQY,14,True,True,18,-1,True
14.19FQY,14,True,True,19,1799,True
14.1EQY,14,True,True,1,2700,False
14.20FQY,14,True,True,20,8500,True
14.21FQY,14,True,True,21,2200,True
14.22FQY,14,True,True,22,7150,True
14.23FQY,14,True,True,23,12649,True
14.24FQY,14,True,True,24,4450,True
14.25FDY,14,True,False,25,1049,True
14.26FQY,14,True,True,26,2300,True
14.27FQY,14,True,True,27,4900,True
14.28FQY,14,True,True,28,4050,True
14.29FQY,14,True,True,29,2200,True
14.2EDY,14,True,False,2,-1,False
14.30FDY,14,True,False,30,1049,True
14.31FDY,14,True,False,31,2250,True
14.32FDY,14,True,False,32,2900,True
14.33FDN,14,False,False,33,699,True
14.34FQN,14,False,True,34,2700,True
14.35FDN,14,False,False,35,1850,True
14.36FQN,14,False,True,36,4500,True
14.37FDN,14,False,False,37,2800,True
14.38FDN,14,False,False,38,1150,True
14.39FDN,14,False,False,39,3599,True
14.3EDY,14,True,False,3,1700,False
14.40FDN,14,False,False,40,1000,True
14.41FDN,14,False,False,41,1300,True
14.42FDN,14,False,False,42,2750,True
14.43FDN,14,False,False,43,1200,True
14.44FQN,14,False,True,44,1299,True
14.45FQN,14,False,True,45,1850,True
14.46FDN,14,False,False,46,2200,True
14.47FDN,14,False,False,47,6999,True
14.48FDN,14,False,False,48,1349,True
14.4EDN,14,False,False,4,16050,False
14.5EDY,14,True,False,5,1599,False
14.6EDN,14,False,False,6,1099,False
14.7EQN,14,False,True,7,-1,False
14.8EQN,14,False,True,8,3700,False
14.9EQY,14,True,True,9,3149,False
15.10EQY,15,True,True,10,1350,False
15.11EDN,15,False,False,11,2250,False
15.12EDY,15,True,False,12,1450,False
15.13EDN,15,False,False,13,11400,False
15.14EQN,15,False,True,14,1050,False
15.15EDY,15,True,False,15,1750,False
15.16EQN,15,False,True,16,1199,False
15.17FDY,15,True,False,17,1050,True
15.18FDY,15,True,False,18,800,True
15.19FDY,15,True,False,19,1750,True
15.1EDY,15,True,False,1,1800,False
15.20FDY,15,True,False,20,1850,True
15.21FDY,15,True,False,21,3500,True
15.22FDY,15,True,False,22,800,True
15.23FDY,15,True,False,23,600,True
15.24FDY,15,True,False,24,1950,True
15.25FQY,15,True,True,25,600,True
15.26FDY,15,True,False,26,1250,True
15.27FDY,15,True,False,27,1350,True
15.28FDY,15,True,False,28,1250,True
15.29FDY,15,True,False,29,750,True
15.2EQY,15,True,True,2,1400,False
15.30FQY,15,True,True,30,1250,True
15.31FQY,15,True,True,31,1950,True
15.32FQY,15,True,True,32,650,True
15.33FQN,15,False,True,33,1250,True
15.34FDN,15,False,False,34,1450,True
15.35FQN,15,False,True,35,800,True
15.36FDN,15,False,False,36,1850,True
15.37FQN,15,False,True,37,1550,True
15.38FQN,15,False,True,38,1150,True
15.39FQN,15,False,True,39,1399,True
15.3EQY,15,True,True,3,1350,False
15.40FQN,15,False,True,40,1400,True
15.41FQN,15,False,True,41,1200,True
15.42FQN,15,False,True,42,600,True
15.43FQN,15,False,True,43,1250,True
15.44FDN,15,False,False,44,1000,True
15.45FDN,15,False,False,45,1150,True
15.46FQN,15,False,True,46,1350,True
15.47FQN,15,False,True,47,1550,True
15.48FQN,15,False,True,48,899,True
15.4EQN,15,False,True,4,1400,False
15.5EQY,15,True,True,5,1800,False
15.6EQN,15,False,True,6,1750,False
15.7EDN,15,False,False,7,1600,False
15.8EDN,15,False,False,8,1400,False
15.9EDY,15,True,False,9,1750,False
16.10EDN,16,False,False,10,4150,False
16.11EQY,16,True,True,11,1900,False
16.12EQN,16,False,True,12,2150,False
16.13EQY,16,True,True,13,2850,False
16.14EDY,16,True,False,14,1200,False
16.15EQN,16,False,True,15,3300,False
16.16EDY,16,True,False,16,1650,False
16.17FQY,16,True,True,17,1249,True
16.18FQY,16,True,True,18,1149,True
16.19FQY,16,True,True,19,1299,True
16.1EQN,16,False,True,1,2500,False
16.20FQY,16,True,True,20,2750,True
16.21FQY,16,True,True,21,2700,True
16.22FQY,16,True,True,22,3300,True
16.23FQY,16,True,True,23,1199,True
16.24FQY,16,True,True,24,15200,True
16.25FDY,16,True,False,25,7549,True
16.26FQY,16,True,True,26,1199,True
16.27FQY,16,True,True,27,3250,True
16.28FQY,16,True,True,28,2600,True
16.29FQY,16,True,True,29,-2,True
16.2EDN,16,False,False,2,4100,False
16.30FDY,16,True,False,30,1900,True
16.31FDY,16,True,False,31,1500,True
16.32FDY,16,True,False,32,1400,True
16.33FDN,16,False,False,33,4100,True
16.34FQN,16,False,True,34,3400,True
16.35FDN,16,False,False,35,1799,True
16.36FQN,16,False,True,36,1950,True
16.37FDN,16,False,False,37,3400,True
16.38FDN,16,False,False,38,-1,True
16.39FDN,16,False,False,39,1350,True
16.3EDN,16,False,False,3,2100,False
16.40FDN,16,False,False,40,2400,True
16.41FDN,16,False,False,41,3050,True
16.42FDN,16,False,False,42,2700,True
16.43FDN,16,False,False,43,3400,True
16.44FQN,16,False,True,44,3550,True
16.45FQN,16,False,True,45,2550,True
16.46FDN,16,False,False,46,1800,True
16.47FDN,16,False,False,47,4350,True
16.48FDN,16,False,False,48,4800,True
16.4EDY,16,True,False,4,-1,False
16.5EDN,16,False,False,5,3250,False
16.6EDY,16,True,False,6,2800,False
16.7EQY,16,True,True,7,12650,False
16.8EQY,16,True,True,8,2249,False
16.9EQN,16,False,True,9,2850,False
17.10EQN,17,False,True,10,6850,False
17.11EDY,17,True,False,11,1500,False
17.12EDN,17,False,False,12,900,False
17.13EDY,17,True,False,13,1750,False
17.14EQY,17,True,True,14,0,False
17.15EDN,17,False,False,15,2599,False
17.16EQY,17,True,True,16,3300,False
17.17FDY,17,True,False,17,2999,True
17.18FDY,17,True,False,18,499,True
17.19FDY,17,True,False,19,1350,True
17.1EDN,17,False,False,1,2900,False
17.20FDY,17,True,False,20,4900,True
17.21FDY,17,True,False,21,3000,True
17.22FDY,17,True,False,22,899,True
17.23FDY,17,True,False,23,3550,True
17.24FDY,17,True,False,24,3500,True
17.25FQY,17,True,True,25,3850,True
17.26FDY,17,True,False,26,400,True
17.27FDY,17,True,False,27,1700,True
17.28FDY,17,True,False,28,-1,True
17.29FDY,17,True,False,29,799,True
17.2EQN,17,False,True,2,1450,False
17.30FQY,17,True,True,30,2550,True
17.31FQY,17,True,True,31,2700,True
17.32FQY,17,True,True,32,1900,True
17.33FQN,17,False,True,33,2900,True
17.34FDN,17,False,False,34,799,True
17.35FQN,17,False,True,35,750,True
17.36FDN,17,False,False,36,1049,True
17.37FQN,17,False,True,37,2299,True
17.38FQN,17,False,True,38,2600,True
17.39FQN,17,False,True,39,8950,True
17.3EQN,17,False,True,3,1099,False
17.40FQN,17,False,True,40,3000,True
17.41FQN,17,False,True,41,999,True
17.42FQN,17,False,True,42,400,True
17.43FQN,17,False,True,43,1900,True
17.44FDN,17,False,False,44,1000,True
17.45FDN,17,False,False,45,5600,True
17.46FQN,17,False,True,46,1700,True
17.47FQN,17,False,True,47,1950,True
17.48FQN,17,False,True,48,3750,True
17.4EQY,17,True,True,4,2599,False
17.5EQN,17,False,True,5,0,False
17.6EQY,17,True,True,6,0,False
17.7EDY,17,True,False,7,3500,False
17.8EDY,17,True,False,8,4250,False
17.9EDN,17,False,False,9,949,False
19.10EQY,19,True,True,10,5600,False
19.11EDN,19,False,False,11,4800,False
19.12EDY,19,True,False,12,3250,False
19.13EDN,19,False,False,13,-2,False
19.14EQN,19,False,True,14,1399,False
19.15EDY,19,True,False,15,1250,False
19.16EQN,19,False,True,16,15900,False
19.17FDY,19,True,False,17,1199,True
19.18FDY,19,True,False,18,1700,True
19.19FDY,19,True,False,19,11299,True
19.1EDY,19,True,False,1,9499,False
19.20FDY,19,True,False,20,6200,True
19.21FDY,19,True,False,21,3350,True
19.22FDY,19,True,False,22,2900,True
19.23FDY,19,True,False,23,1500,True
19.24FDY,19,True,False,24,700,True
19.25FQY,19,True,True,25,999,True
19.26FDY,19,True,False,26,10600,True
19.27FDY,19,True,False,27,5350,True
19.28FDY,19,True,False,28,3150,True
19.29FDY,19,True,False,29,2450,True
19.2EQY,19,True,True,2,2050,False
19.30FQY,19,True,True,30,1099,True
19.31FQY,19,True,True,31,19400,True
19.32FQY,19,True,True,32,3399,True
19.33FQN,19,False,True,33,5800,True
19.34FDN,19,False,False,34,2200,True
19.35FQN,19,False,True,35,-1,True
19.36FDN,19,False,False,36,1700,True
19.37FQN,19,False,True,37,3500,True
19.38FQN,19,False,True,38,8500,True
19.39FQN,19,False,True,39,6050,True
19.3EQY,19,True,True,3,1750,False
19.40FQN,19,False,True,40,3450,True
19.41FQN,19,False,True,41,1749,True
19.42FQN,19,False,True,42,950,True
19.43FQN,19,False,True,43,15100,True
19.44FDN,19,False,False,44,3950,True
19.45FDN,19,False,False,45,949,True
19.46FQN,19,False,True,46,1600,True
19.47FQN,19,False,True,47,3000,True
19.48FQN,19,False,True,48,4250,True
19.4EQN,19,False,True,4,17600,False
19.5EQY,19,True,True,5,22799,False
19.6EQN,19,False,True,6,1800,False
19.7EDN,19,False,False,7,3600,False
19.8EDN,19,False,False,8,2950,False
19.9EDY,19,True,False,9,2799,False
2.10EDY,2,True,False,10,1550,False
2.11EQN,2,False,True,11,-1,False
2.12EQY,2,True,True,12,1900,False
2.13EQN,2,False,True,13,450,False
2.14EDN,2,False,False,14,1350,False
2.15EQY,2,True,True,15,700,False
2.16EDN,2,False,False,16,699,False
2.17FQY,2,True,True,17,1800,True
2.18FQY,2,True,True,18,1700,True
2.19FQY,2,True,True,19,1800,True
2.1EQY,2,True,True,1,1450,False
2.20FQY,2,True,True,20,2450,True
2.21FQY,2,True,True,21,2200,True
2.22FQY,2,True,True,22,1500,True
2.23FQY,2,True,True,23,1900,True
2.24FQY,2,True,True,24,1300,True
2.25FDY,2,True,False,25,350,True
2.26FQY,2,True,True,26,5350,True
2.27FQY,2,True,True,27,2650,True
2.28FQY,2,True,True,28,1350,True
